1.339241342423544022e-04 2.774000000000000000e+03
1.605867898926782538e-04 2.656000000000000000e+03
1.925576538831154253e-04 2.536000000000000000e+03
2.308935255119651882e-04 2.426000000000000000e+03
2.768615998806538765e-04 2.308000000000000000e+03
3.319813551225063442e-04 2.202000000000000000e+03
3.980747788659910139e-04 2.098000000000000000e+03
4.773265941719290824e-04 2.012000000000000000e+03
5.723564757175289477e-04 1.896000000000000000e+03
6.863056433386034282e-04 1.812000000000000000e+03
8.229406952859770995e-04 1.728000000000000000e+03
9.867781134121334213e-04 1.648000000000000000e+03
1.183233555816352043e-03 1.566000000000000000e+03
1.418800871827884851e-03 1.494000000000000000e+03
1.701266756680791916e-03 1.424000000000000000e+03
2.039968141306785793e-03 1.362000000000000000e+03
2.446100825284909953e-03 1.300000000000000000e+03
2.933089554833242553e-03 1.236000000000000000e+03
3.517031778798333872e-03 1.180000000000000000e+03
4.217229751029760373e-03 1.116000000000000000e+03
5.056828567823505420e-03 1.064000000000000000e+03
6.063581230809599910e-03 1.008000000000000000e+03
7.270766024494931812e-03 9.660000000000000000e+02
8.718286532444375486e-03 9.280000000000000000e+02
1.045399065321743481e-02 9.020000000000000000e+02
1.253525221623069154e-02 8.580000000000000000e+02
1.503086747797651758e-02 8.300000000000000000e+02
1.802332918742242593e-02 7.960000000000000000e+02
2.161155338999261669e-02 7.680000000000000000e+02
2.591414910484118178e-02 7.440000000000000000e+02
3.107333895484368919e-02 7.160000000000000000e+02
3.725966034602404275e-02 6.940000000000000000e+02
4.467760259425462149e-02 6.700000000000000000e+02
5.357236633487317407e-02 6.580000000000000000e+02
6.423796864800712658e-02 6.400000000000000000e+02
7.702696181512846962e-02 6.180000000000000000e+02
9.236208696106269767e-02 6.080000000000000000e+02
1.107502477934607515e-01 5.940000000000000000e+02
1.327992663427343678e-01 5.860000000000000000e+02
1.592379745646923805e-01 5.740000000000000000e+02
1.909403059353041998e-01 5.640000000000000000e+02
2.289541833870536447e-01 5.560000000000000000e+02
2.745361584797809673e-01 5.460000000000000000e+02
3.291929468063929387e-01 5.380000000000000000e+02
3.947312325893775342e-01 5.340000000000000000e+02
4.733173887627876164e-01 5.320000000000000000e+02
5.675490865914643024e-01 5.220000000000000000e+02
6.805411618888100866e-01 5.200000000000000000e+02
8.160285761473681232e-01 5.140000000000000000e+02
9.784898759700583204e-01 5.140000000000000000e+02
