1.200000000000000000e+01 1.250000000000000000e-01
2.200000000000000000e+01 6.818181818181817677e-02
4.900000000000000000e+01 3.061224489795918297e-02
9.600000000000000000e+01 1.562500000000000000e-02
1.960000000000000000e+02 7.653061224489795741e-03
3.940000000000000000e+02 3.807106598984771710e-03
7.850000000000000000e+02 1.910828025477707016e-03
1.549000000000000000e+03 9.683666881859264493e-04
2.884000000000000000e+03 5.201109570041608735e-04
3.844000000000000000e+03 3.902185223725285982e-04
