morozov_discrepancies morozov_gammas noise_datanorm
805.554638 5000.000000 866.266306
824.343025 5774.864768 866.266306
839.377650 6344.503180 866.266306
865.708337 7266.774746 866.266306
866.256581 7285.158231 866.266306
866.266199 7285.484654 866.266306
866.266307 7285.488297 866.266306
872.000071 7476.083216 866.266306
2572.872339 50000.000000 866.266306
