k    none    reg    psf1      psf5      psf25
61  1.1276016949e+06   4.8022030401e+01   1.3093227500e+00   1.2091448426e+00    1.1100220256e+00
62  1.1214252333e+06   4.7107009258e+01   1.3086921446e+00   1.2081032011e+00    1.1093349296e+00
63  1.1176034844e+06   4.5158821078e+01   1.3039908751e+00   1.2079250003e+00    1.1090223633e+00
64  1.1146873655e+06   4.4308494893e+01   1.3024409091e+00   1.2072537418e+00    1.1076821495e+00
65  1.1102257458e+06   4.2055655267e+01   1.3003929291e+00   1.2065277716e+00    1.1064878503e+00
66  1.1044361618e+06   3.9696096360e+01   1.2985165967e+00   1.2057804164e+00    1.1049970966e+00
67  1.0919170569e+06   3.7227475380e+01   1.2908759044e+00   1.2028101079e+00    1.1026838812e+00
68  1.0887280450e+06   3.6694651961e+01   1.2906646259e+00   1.2016557745e+00    1.1023945899e+00
69  1.0822633419e+06   3.6061691830e+01   1.2897248654e+00   1.2011816855e+00    1.1019912113e+00
70  1.0797296282e+06   3.4913507883e+01   1.2893155804e+00   1.1995222408e+00    1.1015220411e+00
71  1.0703905275e+06   3.4568469060e+01   1.2845486694e+00   1.1973611568e+00    1.1011462230e+00
72  1.0660424117e+06   3.3610953601e+01   1.2843204624e+00   1.1955687993e+00    1.1009160672e+00
73  1.0634139020e+06   3.3011338889e+01   1.2799401125e+00   1.1931215641e+00    1.1003292322e+00
74  1.0616090133e+06   3.2045053754e+01   1.2726469189e+00   1.1904246139e+00    1.0989488644e+00
75  1.0546486159e+06   3.0386811499e+01   1.2703915494e+00   1.1897982276e+00    1.0979608080e+00
76  1.0486256827e+06   2.9924519869e+01   1.2701813902e+00   1.1886925635e+00    1.0978029076e+00
77  1.0475758640e+06   2.9223501059e+01   1.2680175020e+00   1.1882190276e+00    1.0976490999e+00
78  1.0413016026e+06   2.8045970288e+01   1.2662099545e+00   1.1877547522e+00    1.0975571061e+00
79  1.0404566029e+06   2.7406976388e+01   1.2650041667e+00   1.1847804953e+00    1.0963851757e+00
80  1.0374802930e+06   2.6265047142e+01   1.2639269648e+00   1.1836688058e+00    1.0958465258e+00
81  1.0321655649e+06   2.5924181566e+01   1.2589955674e+00   1.1826640170e+00    1.0956495572e+00
82  1.0258971810e+06   2.5607949472e+01   1.2576978562e+00   1.1815673819e+00    1.0953872264e+00
83  1.0228367393e+06   2.5344414187e+01   1.2555806055e+00   1.1813996758e+00    1.0950000117e+00
84  1.0211226261e+06   2.4620469860e+01   1.2543938545e+00   1.1806910823e+00    1.0949344726e+00
85  1.0179222343e+06   2.4245879456e+01   1.2527269044e+00   1.1803548639e+00    1.0937189869e+00
86  1.0143391520e+06   2.3777007414e+01   1.2490146622e+00   1.1779499571e+00    1.0934553714e+00
87  1.0058619937e+06   2.2978158296e+01   1.2476173816e+00   1.1771333609e+00    1.0934190119e+00
88  1.0007363817e+06   2.2624870889e+01   1.2460204609e+00   1.1768831235e+00    1.0930302170e+00
89  9.9179995528e+05   2.1735635103e+01   1.2415605419e+00   1.1761070893e+00    1.0914965045e+00
90  9.8517046746e+05   2.0995677142e+01   1.2412580483e+00   1.1753526926e+00    1.0902299469e+00
91  9.8362039726e+05   2.0796889229e+01   1.2402738651e+00   1.1751537004e+00    1.0893682720e+00
92  9.8023887439e+05   1.9648792360e+01   1.2394223180e+00   1.1746638637e+00    1.0891384530e+00
93  9.7700048941e+05   1.9432584749e+01   1.2359140856e+00   1.1721244475e+00    1.0886666389e+00
94  9.7496757832e+05   1.9108112226e+01   1.2345015500e+00   1.1713702574e+00    1.0885433508e+00
95  9.6868025422e+05   1.8919969339e+01   1.2334461566e+00   1.1694000946e+00    1.0871613595e+00
96  9.6092361935e+05   1.8622557155e+01   1.2332762944e+00   1.1684028977e+00    1.0863959031e+00
97  9.5476900782e+05   1.8219322503e+01   1.2316041955e+00   1.1670881314e+00    1.0862838850e+00
98  9.5339443974e+05   1.7903614350e+01   1.2288598087e+00   1.1669968068e+00    1.0858682146e+00
99  9.5107726527e+05   1.7689476993e+01   1.2276493494e+00   1.1663891002e+00    1.0853719509e+00
100  9.4937960363e+05   1.7390779247e+01   1.2273257687e+00   1.1654860349e+00    1.0851074554e+00
101  9.4633050251e+05   1.6922941078e+01   1.2260914325e+00   1.1633543102e+00    1.0845860877e+00
102  9.4479353019e+05   1.6324906988e+01   1.2246737221e+00   1.1620958998e+00    1.0844139064e+00
103  9.3622226877e+05   1.5895274388e+01   1.2219751379e+00   1.1610396964e+00    1.0837411737e+00
104  9.3534289838e+05   1.5623157495e+01   1.2205274499e+00   1.1603723670e+00    1.0831405719e+00
105  9.3236321160e+05   1.5053673577e+01   1.2184546752e+00   1.1601691824e+00    1.0830043489e+00
106  9.3089618512e+05   1.4845511461e+01   1.2164042168e+00   1.1600183131e+00    1.0819246078e+00
107  9.2964632157e+05   1.4761025471e+01   1.2152424041e+00   1.1593835201e+00    1.0817340482e+00
108  9.2907310492e+05   1.4612334632e+01   1.2146369883e+00   1.1577592983e+00    1.0807551203e+00
109  9.2809945967e+05   1.4331628690e+01   1.2136526818e+00   1.1568615798e+00    1.0806458230e+00
110  9.2745121969e+05   1.4089587750e+01   1.2115991631e+00   1.1558754852e+00    1.0805515723e+00
111  9.2693302311e+05   1.3847785962e+01   1.2089072875e+00   1.1547014604e+00    1.0797958312e+00
112  9.2310344436e+05   1.3516704884e+01   1.2076777830e+00   1.1537465490e+00    1.0787377323e+00
113  9.2253834417e+05   1.3304082106e+01   1.2068659777e+00   1.1518856414e+00    1.0786128151e+00
114  9.2166776537e+05   1.3037460630e+01   1.2054730345e+00   1.1516168774e+00    1.0784298888e+00
115  9.1618297613e+05   1.2911849856e+01   1.2050892535e+00   1.1510505523e+00    1.0779228077e+00
116  9.1497078076e+05   1.2703605313e+01   1.2043425464e+00   1.1506156129e+00    1.0774931122e+00
117  9.1326670196e+05   1.2487654560e+01   1.2022941196e+00   1.1495988493e+00    1.0770533718e+00
118  9.0761817733e+05   1.2348100196e+01   1.2021883861e+00   1.1489791708e+00    1.0762366913e+00
119  8.9784300034e+05   1.1896531673e+01   1.2008502138e+00   1.1485732089e+00    1.0743272190e+00
120  8.9088314602e+05   1.1730677379e+01   1.1991540587e+00   1.1479432301e+00    1.0741828689e+00
121  8.8607956722e+05   1.1253123906e+01   1.1973661029e+00   1.1475197557e+00    1.0739327332e+00
122  8.7915244004e+05   1.1004349619e+01   1.1964484041e+00   1.1458243234e+00    1.0733613611e+00
123  8.7817580016e+05   1.0993878265e+01   1.1956374484e+00   1.1454861393e+00    1.0730518818e+00
124  8.7619911788e+05   1.0894625792e+01   1.1949269351e+00   1.1448423003e+00    1.0720697714e+00
125  8.7321360487e+05   1.0809839334e+01   1.1944489409e+00   1.1446089775e+00    1.0718688309e+00
126  8.7213579060e+05   1.0662679590e+01   1.1925617657e+00   1.1423494830e+00    1.0713432281e+00
127  8.6979598968e+05   1.0565964516e+01   1.1909469308e+00   1.1420725467e+00    1.0710078555e+00
128  8.6529486861e+05   1.0392713183e+01   1.1905385543e+00   1.1418088577e+00    1.0706661338e+00
129  8.6148479984e+05   1.0172430542e+01   1.1892268277e+00   1.1406149990e+00    1.0700476133e+00
130  8.6128819106e+05   9.9349456315e+00   1.1885907874e+00   1.1404487955e+00    1.0698375123e+00
131  8.5901956158e+05   9.8533697770e+00   1.1871324170e+00   1.1394477780e+00    1.0697900800e+00
132  8.5770332519e+05   9.5309456864e+00   1.1863482709e+00   1.1385129468e+00    1.0697075956e+00
133  8.5486933532e+05   9.3088329936e+00   1.1854673251e+00   1.1384291125e+00    1.0694668781e+00
134  8.5103320371e+05   9.2250827433e+00   1.1842832402e+00   1.1373976887e+00    1.0688190856e+00
135  8.4642932505e+05   9.0895063116e+00   1.1825410767e+00   1.1369353224e+00    1.0687556884e+00
136  8.4368544965e+05   8.9909159712e+00   1.1811699315e+00   1.1363462237e+00    1.0683030768e+00
137  8.4031721465e+05   8.8736712458e+00   1.1802457420e+00   1.1360700008e+00    1.0680949872e+00
138  8.3986301990e+05   8.7125908962e+00   1.1785883828e+00   1.1358936663e+00    1.0673462129e+00
139  8.3741673352e+05   8.6616780716e+00   1.1769474789e+00   1.1345222949e+00    1.0664977892e+00
140  8.3582181359e+05   8.5651926777e+00   1.1753574489e+00   1.1334830612e+00    1.0663993310e+00
141  8.3396210481e+05   8.4836609399e+00   1.1741593258e+00   1.1331507357e+00    1.0653081041e+00
142  8.2988949595e+05   8.2939684848e+00   1.1732760380e+00   1.1324062059e+00    1.0649962483e+00
143  8.2927051043e+05   8.1710659647e+00   1.1716869201e+00   1.1309882235e+00    1.0645775691e+00
144  8.2537013927e+05   8.1018050198e+00   1.1715198620e+00   1.1306198597e+00    1.0642098490e+00
145  8.2446338932e+05   7.9858956256e+00   1.1708519722e+00   1.1297643576e+00    1.0641495452e+00
146  8.2346429144e+05   7.9559676466e+00   1.1679864566e+00   1.1294569221e+00    1.0630590996e+00
147  8.2090061275e+05   7.7488788339e+00   1.1674482986e+00   1.1283860639e+00    1.0628931155e+00
148  8.1991697307e+05   7.6592396037e+00   1.1663015254e+00   1.1283506611e+00    1.0626334338e+00
149  8.1712910779e+05   7.4910922087e+00   1.1657900361e+00   1.1273237133e+00    1.0624149525e+00
150  8.1651784086e+05   7.3810176781e+00   1.1647829937e+00   1.1270530528e+00    1.0620793468e+00
151  8.1387250148e+05   7.1945455829e+00   1.1636656682e+00   1.1265520194e+00    1.0612166828e+00
152  8.0711598730e+05   7.1190490531e+00   1.1614799208e+00   1.1260405279e+00    1.0610847993e+00
153  8.0282998538e+05   7.0116196529e+00   1.1602991429e+00   1.1254619122e+00    1.0604034151e+00
154  8.0223368602e+05   6.9958428146e+00   1.1593550939e+00   1.1253537249e+00    1.0602390890e+00
155  8.0193154470e+05   6.9303708109e+00   1.1590765634e+00   1.1249859869e+00    1.0602167142e+00
156  8.0016175717e+05   6.8015460697e+00   1.1579217778e+00   1.1247717276e+00    1.0601229983e+00
157  7.9806553718e+05   6.7242923910e+00   1.1576953194e+00   1.1239204735e+00    1.0596469101e+00
158  7.9751826908e+05   6.7033240987e+00   1.1547511869e+00   1.1228686791e+00    1.0590187941e+00
159  7.9392812223e+05   6.6280350260e+00   1.1531015558e+00   1.1223163936e+00    1.0585423021e+00
160  7.9332886893e+05   6.5449964284e+00   1.1524615571e+00   1.1212721814e+00    1.0583100390e+00
161  7.9201052997e+05   6.4865448482e+00   1.1522586967e+00   1.1211329348e+00    1.0581266040e+00
162  7.8790894983e+05   6.4352181611e+00   1.1518764747e+00   1.1207702401e+00    1.0576251373e+00
163  7.8743811314e+05   6.2702165528e+00   1.1517611836e+00   1.1205512160e+00    1.0572967433e+00
164  7.8682952807e+05   6.2193287095e+00   1.1503929103e+00   1.1192512677e+00    1.0570462162e+00
165  7.8163308533e+05   6.1378019809e+00   1.1492479209e+00   1.1189217614e+00    1.0567772748e+00
166  7.8012472090e+05   6.0462713311e+00   1.1479177494e+00   1.1188661597e+00    1.0562695400e+00
167  7.7913649596e+05   5.9539126251e+00   1.1475405155e+00   1.1179876832e+00    1.0561052138e+00
168  7.7814974356e+05   5.8445743393e+00   1.1473054327e+00   1.1175346470e+00    1.0558542791e+00
169  7.7650388631e+05   5.8102628775e+00   1.1464818223e+00   1.1170271992e+00    1.0557667395e+00
170  7.7389517575e+05   5.7621706278e+00   1.1460894496e+00   1.1165993569e+00    1.0552328456e+00
171  7.7190033506e+05   5.6943968832e+00   1.1451127033e+00   1.1158653447e+00    1.0549106485e+00
172  7.7133231874e+05   5.6531081020e+00   1.1445881960e+00   1.1156877049e+00    1.0548281045e+00
173  7.6779782393e+05   5.5755169579e+00   1.1445666967e+00   1.1151953734e+00    1.0546152296e+00
174  7.6687593348e+05   5.5444685487e+00   1.1424608349e+00   1.1148340821e+00    1.0541900910e+00
175  7.6410801200e+05   5.5142772220e+00   1.1421673258e+00   1.1141649134e+00    1.0537177039e+00
176  7.6311286332e+05   5.4633629682e+00   1.1417130442e+00   1.1134575468e+00    1.0535632957e+00
177  7.5978406771e+05   5.4355463020e+00   1.1414728798e+00   1.1131639030e+00    1.0531931590e+00
178  7.5927830915e+05   5.3523801299e+00   1.1405459963e+00   1.1118999997e+00    1.0531364185e+00
179  7.5455840195e+05   5.2999238864e+00   1.1398311735e+00   1.1100641200e+00    1.0527927981e+00
180  7.5403403035e+05   5.1540194442e+00   1.1390545570e+00   1.1100327853e+00    1.0526384404e+00
181  7.5284198252e+05   5.1092391893e+00   1.1386822486e+00   1.1094978755e+00    1.0523367181e+00
182  7.4840197588e+05   5.0530967633e+00   1.1373845088e+00   1.1093677632e+00    1.0521606232e+00
183  7.4567542616e+05   5.0298481835e+00   1.1359067214e+00   1.1087941642e+00    1.0520486468e+00
184  7.4389678989e+05   4.9312770865e+00   1.1346440290e+00   1.1082016324e+00    1.0517437687e+00
185  7.4241756276e+05   4.9011530738e+00   1.1342212658e+00   1.1080651897e+00    1.0517041578e+00
186  7.3870369721e+05   4.8752265801e+00   1.1334857230e+00   1.1075204275e+00    1.0516664870e+00
187  7.3699582391e+05   4.7978397510e+00   1.1330295316e+00   1.1072533993e+00    1.0512779335e+00
188  7.3665873907e+05   4.7225426609e+00   1.1325249065e+00   1.1069194410e+00    1.0509382084e+00
189  7.3484723130e+05   4.7014996741e+00   1.1309735069e+00   1.1061166460e+00    1.0507214969e+00
190  7.3249336226e+05   4.6432370495e+00   1.1306526235e+00   1.1060512281e+00    1.0502980146e+00
191  7.3107537689e+05   4.5990170717e+00   1.1296010086e+00   1.1057026213e+00    1.0498144128e+00
192  7.3017495258e+05   4.5766944115e+00   1.1291330985e+00   1.1056746361e+00    1.0496511458e+00
193  7.2821080176e+05   4.5428630679e+00   1.1288368000e+00   1.1054175727e+00    1.0495717264e+00
194  7.2509981869e+05   4.5043344599e+00   1.1282699945e+00   1.1051979842e+00    1.0494282594e+00
195  7.2467767124e+05   4.4917634253e+00   1.1279549503e+00   1.1038153375e+00    1.0491889747e+00
196  7.2298277425e+05   4.4385993205e+00   1.1267835259e+00   1.1037372127e+00    1.0490990202e+00
197  7.2169246460e+05   4.3563559614e+00   1.1263353390e+00   1.1036167724e+00    1.0489637216e+00
198  7.1912799679e+05   4.3207324887e+00   1.1258443322e+00   1.1031218009e+00    1.0484883026e+00
199  7.1835761113e+05   4.3079177894e+00   1.1257825643e+00   1.1024480050e+00    1.0482489385e+00
200  7.1308544965e+05   4.2394633542e+00   1.1252227741e+00   1.1022344827e+00    1.0475073540e+00
201  7.1016064887e+05   4.1790437318e+00   1.1241938197e+00   1.1011484841e+00    1.0473523472e+00
202  7.0626668261e+05   4.1493664591e+00   1.1240323140e+00   1.1007128883e+00    1.0471809678e+00
203  7.0563514042e+05   4.1230858473e+00   1.1233044161e+00   1.1006051141e+00    1.0470957723e+00
204  7.0258413032e+05   4.0566536476e+00   1.1228574853e+00   1.1005061239e+00    1.0468027658e+00
205  7.0033602887e+05   4.0341050213e+00   1.1222393001e+00   1.1000408896e+00    1.0465857694e+00
206  6.9906660961e+05   4.0136571218e+00   1.1218847601e+00   1.0997332792e+00    1.0459485352e+00
207  6.9618855418e+05   3.9807349544e+00   1.1210626212e+00   1.0995353978e+00    1.0457500815e+00
208  6.9437559308e+05   3.9391993059e+00   1.1206461989e+00   1.0984111372e+00    1.0456634441e+00
209  6.9227247188e+05   3.9294263336e+00   1.1203369217e+00   1.0976354358e+00    1.0455151163e+00
210  6.9054548296e+05   3.8916557731e+00   1.1194218049e+00   1.0975605774e+00    1.0453205263e+00
211  6.8849618708e+05   3.8501188648e+00   1.1187208439e+00   1.0973825880e+00    1.0452380301e+00
212  6.8811445504e+05   3.8449915365e+00   1.1175852461e+00   1.0964100514e+00    1.0446421398e+00
213  6.8735199532e+05   3.8018079828e+00   1.1174384261e+00   1.0961784796e+00    1.0441507781e+00
214  6.8343480684e+05   3.7896086798e+00   1.1173086347e+00   1.0960459832e+00    1.0439834855e+00
215  6.8296883244e+05   3.7521118882e+00   1.1162283819e+00   1.0956003662e+00    1.0437768515e+00
216  6.7993619441e+05   3.7023521253e+00   1.1156081581e+00   1.0946777695e+00    1.0437075930e+00
217  6.7954301169e+05   3.6860041927e+00   1.1144535424e+00   1.0938563831e+00    1.0433861950e+00
218  6.7852576372e+05   3.6376458264e+00   1.1137284226e+00   1.0936958552e+00    1.0433245964e+00
219  6.7641304077e+05   3.6153150178e+00   1.1134752099e+00   1.0932603537e+00    1.0429215428e+00
220  6.7504237047e+05   3.6005439766e+00   1.1127346671e+00   1.0928611988e+00    1.0424615123e+00
221  6.7256050179e+05   3.5722163871e+00   1.1125994585e+00   1.0927067280e+00    1.0422917999e+00
222  6.7156601210e+05   3.5214100275e+00   1.1118617922e+00   1.0923661687e+00    1.0418941815e+00
223  6.6802313432e+05   3.4824822523e+00   1.1105405089e+00   1.0922056031e+00    1.0417489652e+00
224  6.6695558604e+05   3.4524997030e+00   1.1103795712e+00   1.0917488384e+00    1.0417200604e+00
