k reg psf1 psf5 psf25 
143 124.219037 1.608918 1.554407 1.429878
144 123.235083 1.604422 1.552759 1.429587
145 122.413593 1.603909 1.548842 1.427191
146 119.823740 1.603364 1.546370 1.425754
147 118.379223 1.597108 1.545281 1.424429
148 118.137235 1.596217 1.544043 1.422591
149 116.175383 1.593140 1.541867 1.421436
150 114.975442 1.589779 1.540245 1.420229
151 113.590412 1.587176 1.535843 1.419192
152 110.928528 1.585341 1.535183 1.417468
153 109.502247 1.582143 1.532088 1.416409
154 108.902946 1.581128 1.529633 1.415725
155 106.914013 1.578943 1.526511 1.414643
156 104.388852 1.578040 1.525645 1.406912
157 103.358051 1.573204 1.525276 1.404936
158 102.674673 1.572124 1.524819 1.403993
159 101.812456 1.570294 1.523726 1.403565
160 99.787689 1.566098 1.522944 1.402155
161 99.029606 1.564464 1.519485 1.402025
162 96.751365 1.563559 1.519330 1.400427
163 95.769808 1.561133 1.517974 1.398571
164 95.440455 1.560670 1.516383 1.398240
165 94.353799 1.557474 1.516085 1.397649
166 93.929506 1.556264 1.514396 1.396557
167 91.668455 1.554154 1.512199 1.395175
168 90.443489 1.553281 1.510851 1.393199
169 88.895754 1.551692 1.510498 1.391932
170 87.735518 1.546387 1.510218 1.391268
171 86.933659 1.545769 1.509851 1.390587
172 84.981276 1.544156 1.508495 1.389579
173 84.274426 1.538714 1.507001 1.386832
174 83.510780 1.537768 1.505899 1.385573
175 82.598014 1.536695 1.503704 1.384569
176 81.583230 1.532584 1.501346 1.380921
177 81.052993 1.531424 1.499964 1.379472
178 79.384277 1.529403 1.497700 1.375944
179 78.512019 1.525762 1.492755 1.372867
180 77.022336 1.524641 1.488047 1.372234
181 76.886060 1.523975 1.485868 1.370211
182 76.025242 1.521819 1.484526 1.369744
183 74.748052 1.518414 1.481293 1.369176
184 74.382677 1.517119 1.479277 1.366553
185 73.802614 1.516061 1.478234 1.365916
186 73.177876 1.514663 1.477023 1.364478
187 72.467546 1.513972 1.476514 1.362909
188 71.131056 1.510883 1.474254 1.361393
189 70.051699 1.508447 1.473400 1.361178
190 68.057050 1.505106 1.472779 1.359709
191 67.515882 1.503753 1.470843 1.358379
192 67.125326 1.503461 1.469713 1.357306
193 66.687012 1.497968 1.469063 1.356053
194 65.864798 1.497214 1.468656 1.355579
195 65.084608 1.496634 1.467271 1.353802
196 64.775546 1.494949 1.464878 1.351898
197 63.673891 1.492222 1.463024 1.350601
198 63.567271 1.490590 1.461597 1.350381
199 62.865842 1.488453 1.459824 1.347980
200 62.120476 1.487844 1.457565 1.346654
201 61.422639 1.487171 1.454955 1.344573
202 60.856443 1.487061 1.451186 1.342885
203 59.959980 1.484987 1.450761 1.342578
204 59.154815 1.483451 1.447919 1.341607
205 58.890380 1.481234 1.445546 1.339218
206 58.691664 1.479899 1.444730 1.338709
207 57.901859 1.478727 1.443126 1.338137
208 57.289400 1.477091 1.441831 1.337812
209 56.144704 1.475636 1.439846 1.336123
210 55.920360 1.472626 1.439042 1.334751
211 55.145734 1.472076 1.438759 1.332881
212 54.850482 1.470965 1.437340 1.332249
213 54.075686 1.469790 1.436810 1.330422
214 53.324473 1.469395 1.435474 1.328752
215 53.074274 1.466841 1.433792 1.327909
216 52.295356 1.466536 1.433208 1.327082
217 51.829803 1.465823 1.432198 1.325970
218 51.413974 1.462948 1.431623 1.325366
219 51.235818 1.460457 1.430505 1.323677
220 50.789743 1.459141 1.429640 1.322755
221 50.339969 1.457523 1.428934 1.322204
222 49.795745 1.454833 1.427068 1.321867
223 48.892474 1.454193 1.424754 1.319505
224 48.139464 1.453462 1.423825 1.318121
225 48.119102 1.451480 1.423522 1.317376
226 47.224643 1.449638 1.422388 1.315652
227 47.169019 1.449094 1.420213 1.313421
228 46.659509 1.448529 1.417361 1.312958
229 46.452633 1.447634 1.416169 1.312121
230 46.290089 1.443738 1.415988 1.310604
231 45.169315 1.442297 1.414448 1.310044
232 44.653756 1.440114 1.413023 1.309610
233 44.248833 1.438138 1.412216 1.306972
234 44.055511 1.434061 1.410958 1.306044
235 43.341922 1.432783 1.409320 1.305708
236 42.820114 1.430881 1.408547 1.305045
237 42.331756 1.430581 1.407491 1.304418
238 42.037312 1.428076 1.406754 1.304117
239 41.740048 1.425751 1.405101 1.301524
240 41.446824 1.424384 1.404531 1.299189
241 40.982238 1.423477 1.404234 1.298679
242 40.587312 1.423067 1.403738 1.297509
243 40.028583 1.422429 1.401867 1.295402
244 39.758607 1.419915 1.401765 1.294048
245 39.329372 1.416931 1.401076 1.292983
246 38.939531 1.416673 1.399641 1.292663
247 38.750430 1.415151 1.398943 1.292096
248 38.432912 1.411314 1.396146 1.289946
249 38.060706 1.410283 1.395494 1.288714
250 37.575610 1.407743 1.393694 1.287972
251 37.229925 1.404890 1.393002 1.287026
252 37.115310 1.403681 1.392145 1.286299
253 36.805568 1.401951 1.391105 1.285983
254 36.118776 1.401673 1.390189 1.285056
255 35.585431 1.399267 1.389503 1.284690
256 35.262911 1.399138 1.388987 1.282917
257 35.172548 1.398515 1.388221 1.281737
258 34.854207 1.397387 1.387715 1.281160
259 34.475652 1.396645 1.387096 1.277838
260 34.128098 1.394914 1.386400 1.276920
261 33.989670 1.393865 1.382944 1.275539
262 33.835006 1.392968 1.382465 1.275054
263 33.323024 1.389304 1.382104 1.274576
264 33.037511 1.387075 1.380645 1.273712
265 32.902241 1.386612 1.379485 1.272350
266 32.251150 1.383828 1.375571 1.271755
267 31.993500 1.383666 1.373928 1.271488
268 31.685760 1.382764 1.371686 1.270794
269 31.545861 1.381040 1.370337 1.270040
270 31.143170 1.380204 1.369645 1.268986
271 30.845434 1.377469 1.367834 1.268326
272 30.608384 1.375694 1.367045 1.267951
273 30.134889 1.373471 1.365936 1.267289
274 29.939912 1.372735 1.364567 1.266633
275 29.813098 1.372224 1.364424 1.265190
276 29.492792 1.371211 1.363926 1.264204
277 29.269942 1.370971 1.362984 1.262645
278 28.947794 1.369762 1.362531 1.262296
279 28.845433 1.368962 1.361131 1.261814
280 28.709503 1.368311 1.360213 1.261620
281 28.367724 1.366075 1.359589 1.259757
282 28.105153 1.363597 1.359293 1.258143
283 27.910614 1.363004 1.357610 1.256887
284 27.636150 1.361478 1.355653 1.256761
285 27.319262 1.360134 1.354986 1.256574
286 27.283552 1.360057 1.354713 1.255601
287 26.641786 1.358079 1.354141 1.254659
288 26.530438 1.356940 1.351896 1.253136
289 26.439448 1.355369 1.350686 1.252536
290 26.351549 1.352990 1.349810 1.251884
291 26.102992 1.352676 1.348710 1.249585
292 25.886290 1.351844 1.348057 1.249177
293 25.633873 1.351002 1.347593 1.248761
294 25.458635 1.349745 1.346845 1.248257
295 25.171372 1.348273 1.345321 1.247822
296 25.002357 1.347629 1.344751 1.247119
297 24.583348 1.346854 1.344023 1.245961
298 24.427089 1.346268 1.342252 1.245575
299 24.301269 1.344814 1.340943 1.244221
300 24.088888 1.341772 1.339548 1.244036
301 24.061475 1.339011 1.338874 1.243780
302 23.898391 1.338027 1.337581 1.241601
303 23.783955 1.336682 1.335723 1.239868
304 23.406574 1.335574 1.335384 1.237904
305 23.227302 1.333598 1.333545 1.237055
306 22.902775 1.333360 1.333164 1.236691
307 22.670237 1.332568 1.333009 1.236230
308 22.562539 1.332300 1.331353 1.235526
309 22.473817 1.330992 1.330244 1.235203
310 22.434532 1.329746 1.329877 1.234280
311 22.315095 1.328771 1.329181 1.234048
312 21.935601 1.328268 1.328448 1.233469
313 21.755447 1.326171 1.327188 1.233337
314 21.544801 1.325163 1.326081 1.232612
315 21.478985 1.322473 1.325016 1.232103
316 21.189278 1.321257 1.324197 1.231183
317 21.026849 1.320909 1.323396 1.230447
318 20.765464 1.319683 1.322959 1.229912
319 20.722003 1.319374 1.322179 1.229481
320 20.415288 1.317829 1.320790 1.228379
321 20.395133 1.316645 1.320238 1.227905
322 20.308270 1.316143 1.319242 1.226793
323 19.969852 1.314887 1.318969 1.226575
324 19.910932 1.313943 1.317272 1.225111
325 19.811277 1.313222 1.316341 1.224602
326 19.708851 1.312669 1.315749 1.223503
327 19.395151 1.310963 1.315020 1.221937
328 19.325745 1.309494 1.313795 1.220536
329 19.263404 1.309114 1.311840 1.219808
330 19.059131 1.308230 1.309638 1.219595
331 18.966408 1.307127 1.308998 1.218793
332 18.889564 1.304278 1.308152 1.218174
333 18.767687 1.303633 1.307299 1.217543
334 18.618916 1.303134 1.306446 1.217501
335 18.392099 1.300668 1.304894 1.217265
336 18.123032 1.299951 1.304080 1.216416
337 18.090998 1.299264 1.300907 1.215592
338 17.949533 1.298039 1.300322 1.215040
339 17.779281 1.296980 1.299326 1.213673
340 17.685210 1.295916 1.298485 1.213027
341 17.513573 1.295536 1.297262 1.212370
342 17.386914 1.294513 1.296494 1.211832
343 17.191494 1.292917 1.295968 1.211420
344 17.036121 1.292476 1.295017 1.210711
345 16.897678 1.291869 1.294410 1.210631
346 16.837466 1.289309 1.292186 1.210348
347 16.784199 1.288702 1.291396 1.209692
348 16.729757 1.287927 1.290704 1.208891
349 16.587828 1.287228 1.289947 1.208218
350 16.481953 1.285928 1.289331 1.208040
351 16.422168 1.285185 1.288884 1.206505
352 16.275690 1.284318 1.287856 1.205517
353 16.171349 1.284106 1.287621 1.204884
354 16.035917 1.282155 1.286773 1.203637
355 15.918443 1.280403 1.286415 1.203217
356 15.868975 1.279970 1.284648 1.202650
357 15.700198 1.278526 1.283854 1.202626
358 15.593923 1.277675 1.282471 1.201694
359 15.484366 1.277242 1.282020 1.200933
360 15.408680 1.276476 1.281239 1.200517
361 15.285520 1.275273 1.280874 1.200147
362 15.185922 1.275060 1.280268 1.198550
363 15.135597 1.274814 1.279460 1.197790
364 14.987141 1.273659 1.278006 1.197654
365 14.871965 1.272832 1.275778 1.197251
366 14.638420 1.271138 1.274347 1.196957
367 14.530502 1.270411 1.273880 1.194790
368 14.451520 1.269863 1.272022 1.194378
369 14.385750 1.269475 1.271577 1.192675
370 14.321149 1.267546 1.271548 1.192629
371 14.260440 1.266417 1.270806 1.192173
372 14.213400 1.265336 1.270052 1.191722
373 14.103993 1.264616 1.269514 1.190798
374 13.954913 1.262671 1.268852 1.190013
375 13.893728 1.262363 1.267650 1.189582
376 13.774341 1.260702 1.266728 1.188599
377 13.662178 1.260398 1.265680 1.187976
378 13.565817 1.260028 1.264031 1.187173
379 13.522129 1.258814 1.263415 1.186776
380 13.385140 1.258161 1.261993 1.186050
381 13.265702 1.256686 1.260886 1.184977
382 13.176402 1.254877 1.259971 1.184551
383 13.046210 1.254222 1.259692 1.184433
384 12.943245 1.253923 1.259126 1.183632
385 12.919011 1.253535 1.258858 1.183508
386 12.826687 1.253069 1.257146 1.182956
387 12.733325 1.251348 1.254859 1.182218
388 12.688112 1.250068 1.254450 1.181707
389 12.579593 1.248946 1.253903 1.180970
390 12.509364 1.248734 1.253481 1.180418
391 12.414573 1.247616 1.252390 1.179475
392 12.312837 1.247372 1.251768 1.179266
393 12.279520 1.246815 1.250704 1.178975
394 12.228574 1.246094 1.250601 1.178202
395 12.151710 1.244163 1.249340 1.177113
396 12.121390 1.243532 1.248846 1.177043
397 12.004314 1.242880 1.247120 1.176446
398 11.873849 1.242121 1.246795 1.176153
399 11.855405 1.241451 1.246544 1.175869
400 11.788867 1.241369 1.245589 1.174989
401 11.718615 1.240054 1.244725 1.174635
402 11.694211 1.239209 1.243897 1.173889
403 11.612383 1.238926 1.243581 1.172803
404 11.462914 1.237042 1.243483 1.172225
405 11.345789 1.236770 1.242233 1.171542
406 11.325765 1.236000 1.241772 1.170774
407 11.234650 1.235517 1.241283 1.169417
408 11.182529 1.233388 1.240348 1.168772
409 11.090650 1.232015 1.239319 1.168151
410 11.055928 1.231774 1.238843 1.166850
411 10.995142 1.229613 1.238348 1.166253
412 10.890917 1.228774 1.237849 1.165112
413 10.737496 1.228075 1.237080 1.164788
414 10.706448 1.227294 1.236485 1.163647
415 10.653258 1.226214 1.236368 1.163468
416 10.572656 1.225810 1.235698 1.163316
417 10.550380 1.225042 1.235276 1.162367
418 10.489770 1.223292 1.233985 1.161829
419 10.380497 1.222929 1.233113 1.161539
420 10.358188 1.222863 1.232175 1.160915
421 10.266638 1.221392 1.231994 1.160391
422 10.201538 1.219811 1.229999 1.159888
423 10.112192 1.219489 1.229649 1.159260
424 10.052938 1.218854 1.228678 1.157923
425 10.037150 1.218514 1.227229 1.157322
426 10.018112 1.216962 1.226374 1.156299
427 9.919090 1.216111 1.225800 1.156256
428 9.843274 1.215511 1.224652 1.155903
429 9.779798 1.215000 1.224347 1.155692
430 9.730788 1.214206 1.224199 1.155185
