k    none    reg    psf1      psf5      psf25
305  3.2994644010e+00   1.4554448445e+00   1.0662463486e+00   1.0623438230e+00    1.0463440339e+00
310  3.2827881995e+00   1.4191155800e+00   1.0652057339e+00   1.0612853467e+00    1.0449630639e+00
315  3.2673997152e+00   1.3829970448e+00   1.0643174437e+00   1.0601265301e+00    1.0439080688e+00
320  3.2571842539e+00   1.3455296057e+00   1.0631934795e+00   1.0591410050e+00    1.0428749712e+00
325  3.2498781806e+00   1.3217511289e+00   1.0623074724e+00   1.0580745622e+00    1.0417701774e+00
330  3.2414369958e+00   1.2863598627e+00   1.0615147567e+00   1.0570104880e+00    1.0403500344e+00
335  3.2273703715e+00   1.2663930663e+00   1.0605203458e+00   1.0563563393e+00    1.0393444870e+00
340  3.2179520336e+00   1.2458967904e+00   1.0596804290e+00   1.0556013977e+00    1.0383156539e+00
345  3.1973950441e+00   1.2200148169e+00   1.0589102300e+00   1.0544059830e+00    1.0373666844e+00
350  3.1837102656e+00   1.1964239875e+00   1.0577483282e+00   1.0536284581e+00    1.0364701654e+00
355  3.1647789425e+00   1.1769498829e+00   1.0572267401e+00   1.0530135954e+00    1.0358194802e+00
360  3.1534153580e+00   1.1622898535e+00   1.0563870495e+00   1.0522634557e+00    1.0350442825e+00
365  3.1302819369e+00   1.1503335383e+00   1.0554440037e+00   1.0515796465e+00    1.0339170642e+00
370  3.1167382614e+00   1.1372518244e+00   1.0546399164e+00   1.0508224796e+00    1.0330196543e+00
375  3.1077624690e+00   1.1241023811e+00   1.0540443096e+00   1.0504253233e+00    1.0323084975e+00
380  3.0992205674e+00   1.1150545337e+00   1.0531975683e+00   1.0494531765e+00    1.0314487067e+00
385  3.0870161512e+00   1.1059960690e+00   1.0524685515e+00   1.0487405328e+00    1.0306646429e+00
390  3.0675953718e+00   1.0978688747e+00   1.0517888084e+00   1.0481288226e+00    1.0298350731e+00
395  3.0618855272e+00   1.0891207599e+00   1.0510949458e+00   1.0474762003e+00    1.0289395207e+00
400  3.0420438224e+00   1.0826550827e+00   1.0505294231e+00   1.0468933322e+00    1.0283503193e+00
405  3.0318574687e+00   1.0741752658e+00   1.0498289255e+00   1.0458927070e+00    1.0276970374e+00
410  3.0256742582e+00   1.0691585101e+00   1.0490997045e+00   1.0453950395e+00    1.0271039741e+00
415  3.0163323547e+00   1.0641912361e+00   1.0485204503e+00   1.0448012543e+00    1.0264200373e+00
420  3.0045606192e+00   1.0580241882e+00   1.0478407057e+00   1.0440902122e+00    1.0259166474e+00
425  2.9912504346e+00   1.0531955194e+00   1.0473260222e+00   1.0434440500e+00    1.0253134679e+00
