1.000000000000000000e+00 1.821357029733241262e-01
2.000000000000000000e+00 1.501230013671671082e-01
4.000000000000000000e+00 1.442567114336400225e-01
8.000000000000000000e+00 1.425110675734579668e-01
1.600000000000000000e+01 1.428929752039598544e-01
3.200000000000000000e+01 1.441249288728844169e-01
6.400000000000000000e+01 1.451469503858986432e-01
1.280000000000000000e+02 1.435308586726830038e-01
1.300000000000000000e+02 1.435229935212735120e-01
1.300000000000000000e+02 1.435229935212735120e-01
